machine_id,date,location,operating_hours,fuel_consumed_liters,idle_time_minutes,avg_speed_kmh,engine_hours_total,fault_code
JD-001,2024-05-15,Pune,9.37,103.09,33.06,7.27,1262.77,NONE
JD-001,2024-05-16,Pune,9.37,100.16,49.01,15.4,1272.14,NONE
JD-001,2024-05-17,Pune,10.82,116.69,40.87,22.53,1282.96,NONE
JD-001,2024-05-18,Pune,7.23,68.34,20.37,20.1,1290.19,NONE
JD-001,2024-05-19,Pune,8.96,101.03,27.46,7.73,1299.15,NONE
JD-001,2024-05-20,Pune,4.12,41.76,41.99,12.84,1303.27,NONE
JD-001,2024-05-21,Pune,7.5,89.32,32.68,15.28,1310.77,NONE
JD-001,2024-05-22,Pune,10.27,105.69,43.22,22.25,1321.04,NONE
JD-001,2024-05-23,Pune,11.6,110.13,54.95,14.84,1332.63,NONE
JD-001,2024-05-24,Pune,6.07,63.64,57.01,14.85,1338.7,NONE
JD-001,2024-05-25,Pune,6.63,73.24,28.51,6.52,1345.33,NONE
JD-001,2024-05-26,Pune,5.03,47.48,25.11,7.78,1350.36,NONE
JD-001,2024-05-27,Pune,9.13,87.69,32.58,22.94,1359.49,NONE
JD-001,2024-05-28,Pune,7.79,86.92,25.9,8.85,1367.28,NONE
JD-001,2024-05-29,Pune,4.33,41.4,29.99,8.54,1371.6,E003
JD-001,2024-05-30,Pune,4.71,44.33,37.01,9.13,1376.31,NONE
JD-001,2024-05-31,Pune,6.91,73.52,45.86,5.79,1383.23,NONE
JD-001,2024-06-01,Pune,10.4,114.65,22.41,22.47,1393.62,NONE
JD-001,2024-06-02,Pune,11.37,104.84,29.93,21.12,1404.99,NONE
JD-001,2024-06-03,Pune,9.99,96.03,27.33,12.41,1414.98,NONE
JD-001,2024-06-04,Pune,7.88,86.63,33.47,14.25,1422.85,NONE
JD-001,2024-06-05,Pune,9.98,91.27,28.98,19.27,1432.83,NONE
JD-001,2024-06-06,Pune,11.16,118.97,39.76,7.14,1443.99,NONE
JD-001,2024-06-07,Pune,7.58,81.29,28.6,10.38,1451.57,NONE
JD-001,2024-06-08,Pune,7.02,63.81,31.67,9.23,1458.59,NONE
JD-001,2024-06-09,Pune,6.62,62.29,53.57,16.87,1465.21,NONE
JD-001,2024-06-10,Pune,9.43,108.89,38.46,6.74,1474.64,NONE
JD-001,2024-06-11,Pune,8.3,90.42,47.98,13.63,1482.94,NONE
JD-001,2024-06-12,Pune,5.02,49.87,33.25,17.92,1487.96,NONE
JD-001,2024-06-13,Pune,8.57,87.06,57.26,17.12,1496.53,NONE
JD-001,2024-06-14,Pune,5.9,55.16,25.15,9.92,1502.43,NONE
JD-001,2024-06-15,Pune,5.29,50.86,30.24,8.47,1507.71,NONE
JD-001,2024-06-16,Pune,11.17,103.74,39.47,13.21,1518.89,NONE
JD-001,2024-06-17,Pune,11.86,111.3,34.59,24.39,1530.74,NONE
JD-001,2024-06-18,Pune,10.92,127.07,29.2,8.42,1541.67,E001
JD-001,2024-06-19,Pune,9.35,112.1,40.71,16.43,1551.02,NONE
JD-001,2024-06-20,Pune,6.24,71.64,26.47,11.47,1557.26,NONE
JD-001,2024-06-21,Pune,7.4,78.82,28.6,7.3,1564.66,NONE
JD-001,2024-06-22,Pune,8.88,88.39,41.65,8.09,1573.55,NONE
JD-001,2024-06-23,Pune,7.85,84.19,21.26,11.73,1581.4,NONE
JD-001,2024-06-24,Pune,5.08,46.85,57.4,11.45,1586.47,NONE
JD-001,2024-06-25,Pune,10.48,103.11,45.51,20.2,1596.95,NONE
JD-001,2024-06-26,Pune,8.77,92.31,35.13,11.98,1605.71,NONE
JD-001,2024-06-27,Pune,11.44,133.52,56.43,7.49,1617.15,NONE
JD-001,2024-06-28,Pune,9.85,118.35,26.24,6.33,1627.0,NONE
JD-002,2024-01-01,Pune,5.12,73.48,19.11,8.27,181.39,NONE
JD-002,2024-01-02,Pune,5.31,76.7,31.73,15.46,186.71,NONE
JD-002,2024-01-03,Pune,6.87,100.86,24.31,21.33,193.58,NONE
JD-002,2024-01-04,Pune,7.51,95.42,26.22,11.03,201.09,NONE
JD-002,2024-01-05,Pune,9.98,131.73,19.94,22.99,211.07,NONE
JD-002,2024-01-06,Pune,7.07,94.47,38.3,17.48,218.14,NONE
JD-002,2024-01-07,Pune,4.94,73.67,30.71,11.7,223.08,NONE
JD-002,2024-01-08,Pune,5.11,73.39,30.5,15.67,228.19,NONE
JD-002,2024-01-09,Pune,11.15,159.79,17.75,11.23,239.34,NONE
JD-002,2024-01-10,Pune,5.99,84.75,14.53,16.4,245.33,NONE
JD-002,2024-01-11,Pune,10.1,148.25,22.93,21.43,255.43,NONE
JD-002,2024-01-12,Pune,4.89,71.12,17.09,12.95,260.32,NONE
JD-002,2024-01-13,Pune,10.38,122.49,19.86,19.45,270.69,NONE
JD-002,2024-01-14,Pune,9.76,134.17,32.52,15.85,280.45,NONE
JD-002,2024-01-15,Pune,6.01,75.65,18.56,23.17,286.47,NONE
JD-002,2024-01-16,Pune,8.67,110.9,26.2,23.95,295.14,NONE
JD-002,2024-01-17,Pune,5.23,70.71,27.39,17.23,300.36,NONE
JD-002,2024-01-18,Pune,4.14,60.76,39.0,16.3,304.51,NONE
JD-002,2024-01-19,Pune,9.57,142.25,32.88,8.05,314.08,NONE
JD-002,2024-01-20,Pune,8.61,117.19,25.17,19.73,322.69,NONE
JD-002,2024-01-21,Pune,11.47,170.65,25.9,7.26,334.17,NONE
JD-002,2024-01-22,Pune,11.88,172.58,17.01,23.42,346.04,NONE
JD-002,2024-01-23,Pune,10.96,145.34,29.72,12.98,357.0,NONE
JD-002,2024-01-24,Pune,4.44,55.64,35.48,5.09,361.44,NONE
JD-002,2024-01-25,Pune,6.67,85.25,28.25,23.4,368.11,NONE
JD-002,2024-01-26,Pune,6.77,85.19,33.7,14.04,374.88,NONE
JD-002,2024-01-27,Pune,5.8,75.36,17.45,8.53,380.68,NONE
JD-002,2024-01-28,Pune,7.99,102.77,38.53,12.25,388.66,E001
JD-002,2024-01-29,Pune,8.64,118.53,13.97,18.27,397.31,NONE
JD-002,2024-01-30,Pune,5.42,81.43,17.67,13.29,402.73,NONE
JD-002,2024-01-31,Pune,4.68,70.96,27.29,16.91,407.42,NONE
JD-002,2024-02-01,Pune,4.54,64.31,19.33,22.96,411.95,NONE
JD-002,2024-02-02,Pune,5.64,67.49,14.61,14.44,417.59,NONE
JD-002,2024-02-03,Pune,8.52,97.71,34.74,14.07,426.11,NONE
JD-002,2024-02-04,Pune,8.2,106.16,24.53,16.19,434.31,NONE
JD-002,2024-02-05,Pune,5.24,62.53,37.09,23.92,439.55,NONE
JD-002,2024-02-06,Pune,6.99,85.8,31.16,13.17,446.54,NONE
JD-002,2024-02-07,Pune,4.2,49.71,33.12,18.18,450.74,NONE
JD-002,2024-02-08,Pune,4.22,50.97,19.91,18.44,454.96,NONE
JD-002,2024-02-09,Pune,4.16,48.32,35.4,8.57,459.11,NONE
JD-002,2024-02-10,Pune,9.22,112.07,16.33,9.86,468.34,NONE
JD-002,2024-02-11,Pune,9.78,142.71,36.23,12.94,478.11,NONE
JD-002,2024-02-12,Pune,9.34,112.33,21.6,22.93,487.46,NONE
JD-002,2024-02-13,Pune,4.1,47.39,19.28,5.53,491.56,NONE
JD-002,2024-02-14,Pune,5.45,73.68,25.09,22.85,497.01,NONE
JD-002,2024-02-15,Pune,10.54,132.4,20.68,12.59,507.55,NONE
JD-002,2024-02-16,Pune,8.72,107.03,30.62,13.19,516.28,NONE
JD-002,2024-02-17,Pune,8.42,108.87,21.64,23.97,524.69,NONE
JD-002,2024-02-18,Pune,10.11,118.92,37.27,14.75,534.8,NONE
JD-002,2024-02-19,Pune,11.16,160.36,25.2,5.45,545.96,NONE
JD-002,2024-02-20,Pune,6.15,82.11,30.87,10.16,552.11,NONE
JD-002,2024-02-21,Pune,5.11,74.23,40.43,15.51,557.22,NONE
JD-002,2024-02-22,Pune,5.37,66.02,14.12,23.29,562.6,E001
JD-002,2024-02-23,Pune,4.94,66.67,21.08,16.08,567.54,NONE
JD-002,2024-02-24,Pune,9.21,133.49,19.24,5.22,576.75,NONE
JD-002,2024-02-25,Pune,5.1,75.26,37.42,16.95,581.84,NONE
JD-002,2024-02-26,Pune,8.8,121.86,18.39,23.29,590.65,NONE
JD-002,2024-02-27,Pune,7.35,93.53,27.75,5.94,598.0,NONE
JD-002,2024-02-28,Pune,5.33,75.31,15.87,17.06,603.33,NONE
JD-002,2024-02-29,Pune,5.96,76.02,21.48,12.11,609.29,NONE
JD-002,2024-03-01,Pune,9.75,120.78,29.04,14.52,619.04,NONE
JD-002,2024-03-02,Pune,9.31,138.86,33.57,9.3,628.35,NONE
JD-002,2024-03-03,Pune,4.25,52.04,29.82,6.03,632.6,NONE
JD-002,2024-03-04,Pune,7.97,108.17,22.72,20.42,640.57,NONE
JD-002,2024-03-05,Pune,4.85,55.84,33.45,14.91,645.43,NONE
JD-002,2024-03-06,Pune,9.51,122.93,20.33,21.38,654.93,NONE
JD-002,2024-03-07,Pune,10.4,145.1,21.03,16.8,665.33,NONE
JD-002,2024-03-08,Pune,6.89,79.71,38.6,7.74,672.22,E001
JD-002,2024-03-09,Pune,11.6,150.53,18.66,15.84,683.82,E001
JD-002,2024-03-10,Pune,10.98,154.94,35.58,18.18,694.8,NONE
JD-002,2024-03-11,Pune,9.54,138.97,20.42,14.79,704.34,NONE
JD-002,2024-03-12,Pune,5.77,87.22,39.33,5.79,710.11,NONE
JD-002,2024-03-13,Pune,9.64,143.42,18.53,16.36,719.75,NONE
JD-002,2024-03-14,Pune,11.32,128.46,32.61,10.95,731.08,NONE
JD-002,2024-03-15,Pune,11.4,171.51,39.33,14.48,742.47,NONE
JD-002,2024-03-16,Pune,10.9,158.55,22.31,21.58,753.37,NONE
JD-002,2024-03-17,Pune,4.3,58.29,19.88,7.41,757.67,NONE
JD-002,2024-03-18,Pune,4.62,64.45,22.87,19.5,762.28,NONE
JD-002,2024-03-19,Pune,4.52,56.34,28.31,20.81,766.8,NONE
JD-002,2024-03-20,Pune,6.55,89.64,37.75,17.32,773.35,NONE
JD-002,2024-03-21,Pune,5.86,66.3,37.31,5.43,779.22,NONE
JD-002,2024-03-22,Pune,11.0,146.29,39.19,20.98,790.22,NONE
JD-002,2024-03-23,Pune,11.98,150.96,34.51,13.04,802.2,NONE
JD-002,2024-03-24,Pune,7.84,107.33,37.41,24.68,810.04,E003
JD-002,2024-03-25,Pune,10.15,130.51,25.09,19.75,820.18,NONE
JD-002,2024-03-26,Pune,5.91,68.83,23.27,10.74,826.09,NONE
JD-002,2024-03-27,Pune,6.37,77.3,14.76,5.36,832.46,NONE
JD-002,2024-03-28,Pune,11.9,153.56,24.08,18.59,844.37,NONE
JD-002,2024-03-29,Pune,5.75,86.01,35.03,6.79,850.11,E001
JD-002,2024-03-30,Pune,7.34,107.82,39.35,14.35,857.45,NONE
JD-002,2024-03-31,Pune,8.91,105.73,40.61,9.63,866.36,NONE
JD-002,2024-04-01,Pune,11.54,159.05,30.17,15.25,877.9,NONE
JD-002,2024-04-02,Pune,5.85,69.61,19.62,8.73,883.75,NONE
JD-002,2024-04-03,Pune,10.24,128.93,15.19,24.38,893.98,NONE
JD-002,2024-04-04,Pune,11.07,164.73,40.71,8.48,905.05,NONE
JD-002,2024-04-05,Pune,7.17,101.88,32.57,8.08,912.22,NONE
JD-002,2024-04-06,Pune,10.53,127.35,19.71,15.74,922.75,NONE
JD-002,2024-04-07,Pune,8.74,118.08,16.11,22.55,931.49,NONE
JD-002,2024-04-08,Pune,6.12,71.8,37.82,24.11,937.62,NONE
JD-002,2024-04-09,Pune,10.9,157.05,31.46,16.02,948.52,NONE
JD-002,2024-04-10,Pune,4.7,60.23,23.77,10.2,953.21,NONE
JD-002,2024-04-11,Pune,9.79,128.91,15.82,9.4,963.0,NONE
JD-002,2024-04-12,Pune,9.47,108.96,36.8,14.9,972.47,NONE
JD-002,2024-04-13,Pune,7.84,106.32,36.08,11.96,980.31,NONE
JD-002,2024-04-14,Pune,9.42,126.73,20.89,22.57,989.73,NONE
JD-002,2024-04-15,Pune,10.38,143.39,36.78,22.35,1000.11,NONE
JD-002,2024-04-16,Pune,9.67,140.37,32.61,18.6,1009.78,NONE
JD-002,2024-04-17,Pune,8.95,126.96,17.94,22.62,1018.73,NONE
JD-002,2024-04-18,Pune,10.97,124.29,36.11,7.58,1029.7,NONE
JD-002,2024-04-19,Pune,6.68,94.54,18.0,21.36,1036.39,E002
JD-002,2024-04-20,Pune,10.66,140.86,13.79,10.74,1047.04,NONE
JD-002,2024-04-21,Pune,8.94,134.85,30.82,10.2,1055.98,NONE
JD-002,2024-04-22,Pune,9.07,121.08,34.86,7.14,1065.05,NONE
JD-002,2024-04-23,Pune,10.09,134.69,39.84,11.84,1075.14,NONE
JD-002,2024-04-24,Pune,9.06,134.98,16.41,23.74,1084.2,NONE
JD-002,2024-04-25,Pune,9.5,109.08,21.81,19.16,1093.7,E001
JD-002,2024-04-26,Pune,4.54,61.33,23.04,17.42,1098.24,NONE
JD-002,2024-04-27,Pune,4.37,63.99,40.13,24.38,1102.61,NONE
JD-002,2024-04-28,Pune,10.0,117.21,34.27,5.49,1112.6,NONE
JD-002,2024-04-29,Pune,4.18,52.17,26.92,20.41,1116.78,NONE
JD-002,2024-04-30,Pune,9.47,122.81,21.07,24.94,1126.25,NONE
JD-002,2024-05-01,Pune,7.41,96.29,18.07,20.9,1133.66,NONE
JD-002,2024-05-02,Pune,9.55,115.39,15.86,18.61,1143.21,NONE
JD-002,2024-05-03,Pune,9.24,113.52,39.51,8.02,1152.44,NONE
JD-002,2024-05-04,Pune,7.46,111.45,25.05,17.77,1159.9,E001
JD-002,2024-05-05,Pune,7.18,88.28,40.41,13.19,1167.08,E002
JD-002,2024-05-06,Pune,11.15,135.17,19.42,5.62,1178.24,NONE
JD-002,2024-05-07,Pune,9.21,116.71,37.16,14.46,1187.45,NONE
JD-002,2024-05-08,Pune,11.75,140.28,37.27,20.53,1199.19,NONE
JD-002,2024-05-09,Pune,10.17,147.95,34.34,17.52,1209.36,NONE
JD-002,2024-05-10,Pune,5.05,57.26,38.7,17.33,1214.41,NONE
JD-002,2024-05-11,Pune,10.37,136.03,16.81,7.5,1224.78,NONE
JD-002,2024-05-12,Pune,9.48,122.47,19.08,14.83,1234.27,NONE
JD-002,2024-05-13,Pune,4.51,60.99,20.94,20.95,1238.78,E002
JD-002,2024-05-14,Pune,6.48,84.35,13.93,6.45,1245.26,NONE
JD-002,2024-05-15,Pune,7.14,93.59,29.96,10.83,1252.4,E001
JD-002,2024-05-16,Pune,9.56,139.69,34.86,5.79,1261.96,NONE
JD-002,2024-05-17,Pune,7.84,91.19,20.21,24.73,1269.81,NONE
JD-002,2024-05-18,Pune,5.14,67.76,30.45,19.05,1274.95,NONE
JD-002,2024-05-19,Pune,8.48,95.35,22.51,15.35,1283.43,NONE
JD-002,2024-05-20,Pune,4.7,59.24,14.52,6.57,1288.13,NONE
JD-002,2024-05-21,Pune,7.18,84.2,29.07,18.79,1295.3,NONE
JD-002,2024-05-22,Pune,10.4,124.87,18.18,7.09,1305.71,E001
JD-002,2024-05-23,Pune,9.09,127.32,14.48,23.72,1314.8,NONE
JD-002,2024-05-24,Pune,4.42,58.96,32.93,22.42,1319.22,NONE
JD-002,2024-05-25,Pune,9.71,139.68,22.86,21.3,1328.93,NONE
JD-002,2024-05-26,Pune,4.64,68.45,28.53,21.35,1333.57,NONE
JD-002,2024-05-27,Pune,7.62,104.8,27.95,19.63,1341.19,NONE
JD-002,2024-05-28,Pune,4.65,53.27,20.35,8.19,1345.84,NONE
JD-002,2024-05-29,Pune,10.97,132.54,40.19,11.74,1356.82,NONE
JD-002,2024-05-30,Pune,5.46,78.22,31.56,14.96,1362.27,NONE
JD-002,2024-05-31,Pune,8.44,118.67,19.84,24.93,1370.72,NONE
JD-002,2024-06-01,Pune,11.8,162.61,19.05,18.6,1382.51,NONE
JD-002,2024-06-02,Pune,4.58,51.87,20.63,14.25,1387.09,NONE
JD-002,2024-06-03,Pune,10.95,154.19,33.84,13.51,1398.04,NONE
JD-002,2024-06-04,Pune,6.77,85.8,40.51,5.8,1404.8,NONE
JD-002,2024-06-05,Pune,10.94,147.63,25.56,19.51,1415.74,NONE
JD-002,2024-06-06,Pune,7.89,115.76,38.15,13.43,1423.63,NONE
JD-002,2024-06-07,Pune,6.21,84.23,38.46,9.21,1429.85,NONE
JD-002,2024-06-08,Pune,8.98,123.15,33.58,7.63,1438.83,NONE
JD-002,2024-06-09,Pune,9.73,144.01,18.51,9.75,1448.56,NONE
JD-002,2024-06-10,Pune,11.77,140.38,36.89,14.85,1460.33,NONE
JD-002,2024-06-11,Pune,5.98,87.6,25.74,15.3,1466.31,NONE
JD-002,2024-06-12,Pune,6.87,93.18,18.07,12.82,1473.18,NONE
